18:19:36 [INFO] Found netvar: m_thirdPersonViewAngles => 0x31E4
18:19:36 [INFO] Found netvar: m_clrRender => 0x70
18:19:36 [INFO] Found netvar: m_bBombTicking => 0x2990
18:19:36 [INFO] Found netvar: m_bBombDefused => 0x29C0
18:19:36 [INFO] Found netvar: m_flC4Blow => 0x29A0
18:19:36 [INFO] Found netvar: m_hBombDefuser => 0x29C4
18:19:36 [INFO] Found netvar: m_flTimerLength => 0x29A4
18:19:36 [INFO] Found netvar: m_flDefuseLength => 0x29B8
18:19:36 [INFO] Found netvar: m_flDefuseCountDown => 0x29BC
18:19:36 [INFO] Found netvar: m_nBombSite => 0x2994
18:19:36 [INFO] Found netvar: cs_gamerules_data => 0x0
18:19:36 [INFO] Found netvar: m_SurvivalRules => 0xD00
18:19:36 [INFO] Found netvar: m_SurvivalGameRuleDecisionTypes => 0x1328
18:19:36 [INFO] Found netvar: m_bIsValveDS => 0x7C
18:19:36 [INFO] Found netvar: m_bFreezePeriod => 0x20
18:19:36 [INFO] Found netvar: m_bBombPlanted => 0x9A5
18:19:36 [INFO] Found netvar: m_bIsQueuedMatchmaking => 0x74
18:19:36 [INFO] Found netvar: m_flSimulationTime => 0x268
18:19:36 [INFO] Found netvar: m_flLowerBodyYawTarget => 0x9ADC
18:19:36 [INFO] Found netvar: m_angEyeAnglesX => 0x117D0
18:19:36 [INFO] Found netvar: m_angEyeAnglesY => 0x117D4
18:19:36 [INFO] Found netvar: m_flNextAttack => 0x2D80
18:19:36 [INFO] Found netvar: m_iMostRecentModelBoneCounter => 0x268C
18:19:36 [INFO] Found netvar: m_flLastBoneSetupTime => 0x28C0
18:19:36 [INFO] Found netvar: m_bStartedArming => 0x3400
18:19:36 [INFO] Found netvar: m_bUseCustomBloomScale => 0x9DA
18:19:36 [INFO] Found netvar: m_bUseCustomAutoExposureMin => 0x9D8
18:19:36 [INFO] Found netvar: m_bUseCustomAutoExposureMax => 0x9D9
18:19:36 [INFO] Found netvar: m_flCustomBloomScale => 0x9E4
18:19:36 [INFO] Found netvar: m_flCustomAutoExposureMin => 0x9DC
18:19:36 [INFO] Found netvar: m_flCustomAutoExposureMax => 0x9E0
18:19:36 [INFO] Found netvar: m_nViewModelIndex => 0x29D0
18:19:36 [INFO] Finished netvar scanning: 93/93 items successful
13:31:46 [INFO] Opening target process: csgo.exe
13:31:46 [INFO] Starting signature scanning: 57 items
13:31:46 [WARN] dwClientState sigscan failed: Module not found
13:31:46 [WARN] dwClientState_GetLocalPlayer sigscan failed: Module not found
